"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ONGC","EQ","17-Nov-2022","        142.90","        141.95","        143.80","        141.70","        143.30","        143.20","        143.19","   13368536","          1914294175.65","      71782","    6706303","         50.16"
"ONGC","EQ","18-Nov-2022","        143.20","        143.15","        143.25","        140.20","        142.05","        141.75","        141.52","   19958908","          2824664250.45","      73638","   11916350","         59.70"
"ONGC","EQ","21-Nov-2022","        141.75","        136.00","        136.35","        134.40","        135.65","        135.45","        135.29","   16348881","          2211905383.75","      88629","    7416287","         45.36"
"ONGC","EQ","22-Nov-2022","        135.45","        134.95","        135.90","        132.90","        135.25","        135.20","        134.48","   11198874","          1505986707.30","      45417","    5023555","         44.86"
"ONGC","EQ","23-Nov-2022","        135.20","        135.55","        136.65","        134.55","        136.50","        136.50","        135.56","    9010911","          1221504385.10","      62606","    4273581","         47.43"
"ONGC","EQ","24-Nov-2022","        136.50","        136.50","        140.00","        135.50","        139.00","        139.45","        138.46","   11803087","          1634267775.15","      70763","    3961969","         33.57"
"ONGC","EQ","25-Nov-2022","        139.45","        139.00","        141.30","        137.75","        140.50","        140.55","        140.15","    9789098","          1371931729.70","      45062","    3962706","         40.48"
"ONGC","EQ","28-Nov-2022","        140.55","        139.50","        141.20","        139.05","        139.55","        139.60","        140.06","    8925344","          1250057576.50","      54380","    4339553","         48.62"
"ONGC","EQ","29-Nov-2022","        139.60","        140.05","        141.10","        139.50","        140.30","        140.25","        140.11","   13558920","          1899776631.25","      48700","    8971218","         66.16"
"ONGC","EQ","30-Nov-2022","        140.25","        139.60","        141.80","        139.60","        140.95","        141.10","        140.75","   17720938","          2494276898.95","      56887","   11472691","         64.74"
"ONGC","EQ","01-Dec-2022","        141.10","        141.45","        142.00","        139.80","        140.00","        140.05","        140.84","   27727625","          3905209046.80","      73234","   19935103","         71.90"
"ONGC","EQ","02-Dec-2022","        140.05","        141.85","        144.80","        140.55","        140.80","        140.90","        142.23","   24518337","          3487162436.45","      90329","    8090338","         33.00"
