"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","16-Nov-2022","       2607.30","       2610.00","       2615.95","       2581.35","       2592.95","       2592.35","       2601.87","    4484007","         11666807298.05","     145159","    2523954","         65.96"
"RELIANCE","EQ","17-Nov-2022","       2592.35","       2584.95","       2613.00","       2580.00","       2598.95","       2599.05","       2599.58","    3074259","          7991793077.85","     115328","    1594081","         51.85"
"RELIANCE","EQ","18-Nov-2022","       2599.05","       2606.75","       2609.00","       2571.10","       2597.05","       2597.65","       2589.31","    2447425","          6337149845.85","     104090","    1215602","         49.67"
"RELIANCE","EQ","21-Nov-2022","       2597.65","       2588.00","       2588.00","       2543.10","       2548.00","       2550.90","       2556.28","    2949108","          7538748417.35","     131742","    1549394","         52.54"
"RELIANCE","EQ","22-Nov-2022","       2550.90","       2545.00","       2568.50","       2536.50","       2564.90","       2565.05","       2556.94","    3051201","          7801736581.00","     138342","    1643928","         53.88"
"RELIANCE","EQ","23-Nov-2022","       2565.05","       2575.00","       2577.90","       2552.25","       2557.50","       2557.05","       2561.22","    2959787","          7580660698.90","     121346","    1873450","         63.30"
"RELIANCE","EQ","24-Nov-2022","       2557.05","       2566.00","       2594.00","       2548.20","       2588.00","       2579.10","       2564.10","    4333225","         11110842573.85","     154377","    2723781","         62.86"
"RELIANCE","EQ","25-Nov-2022","       2579.10","       2589.00","       2624.90","       2582.10","       2612.75","       2617.60","       2605.35","    3391988","          8837331953.30","     128621","    1578251","         46.53"
"RELIANCE","EQ","28-Nov-2022","       2617.60","       2608.90","       2721.05","       2502.00","       2706.00","       2707.55","       2686.06","   14549929","         39081953191.85","     322273","    6794072","         46.69"
"RELIANCE","EQ","29-Nov-2022","       2707.55","       2703.95","       2731.65","       2694.00","       2708.35","       2712.20","       2713.16","    5103687","         13847136356.65","     217704","    2852331","         55.89"
"RELIANCE","EQ","30-Nov-2022","       2712.20","       2712.50","       2745.45","       2698.20","       2733.05","       2731.35","       2727.09","   12075137","         32929988867.00","     276976","    7780847","         64.44"
"RELIANCE","EQ","01-Dec-2022","       2731.35","       2741.80","       2755.00","       2716.00","       2725.25","       2723.30","       2738.93","    4377696","         11990209635.60","     177158","    2538726","         57.99"
"RELIANCE","EQ","02-Dec-2022","       2723.30","       2730.00","       2748.00","       2700.60","       2727.00","       2722.15","       2725.02","    5348595","         14575017227.75","     204222","    2999370","         56.08"
